FileName,WellId,Sample Description,From [bp],To [bp],Average Size [bp],Conc. [ng/µl],Region Molarity [nmol/l],% of Total,Region Comment
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,A1,LPAManualBuild1_Hypo,140,700,398,0.225,1.02,12.08,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,A1,LPAManualBuild1_Hypo,190,280,226,0.0483,0.347,2.59,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,A1,LPAManualBuild1_Hypo,400,700,479,0.136,0.453,7.28,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,B1,LPAManualBuild1_Hypo,140,700,398,0.249,1.13,12.95,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,B1,LPAManualBuild1_Hypo,190,280,225,0.0489,0.355,2.54,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,B1,LPAManualBuild1_Hypo,400,700,481,0.148,0.492,7.67,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,C1,LPAManualBuild1_Hypo,140,700,393,0.269,1.22,14.69,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,C1,LPAManualBuild1_Hypo,190,280,224,0.0574,0.413,3.13,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,C1,LPAManualBuild1_Hypo,400,700,479,0.152,0.506,8.31,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D1,LPAManualBuild1_Hypo,140,700,398,0.276,1.22,15.46,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D1,LPAManualBuild1_Hypo,190,280,223,0.0524,0.377,2.93,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D1,LPAManualBuild1_Hypo,400,700,479,0.161,0.532,9.00,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,E1,LPAManualBuild1_Hypo,140,700,395,0.265,1.18,15.23,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,E1,LPAManualBuild1_Hypo,190,280,222,0.0508,0.365,2.92,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,E1,LPAManualBuild1_Hypo,400,700,477,0.153,0.505,8.79,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F1,LPAManualBuild1_Hypo,140,700,387,0.283,1.29,16.67,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F1,LPAManualBuild1_Hypo,190,280,221,0.0595,0.427,3.50,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F1,LPAManualBuild1_Hypo,400,700,477,0.154,0.509,9.07,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,G1,LPAManualBuild1_Hypo,140,700,382,0.259,1.20,16.42,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,G1,LPAManualBuild1_Hypo,190,280,217,0.0577,0.422,3.65,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,G1,LPAManualBuild1_Hypo,400,700,472,0.141,0.470,8.91,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H1,LPAManualBuild1_Hypo,140,700,376,0.247,1.18,16.02,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H1,LPAManualBuild1_Hypo,190,280,219,0.0601,0.437,3.90,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H1,LPAManualBuild1_Hypo,400,700,474,0.128,0.427,8.28,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,A2,LPAManualBuild1_Res,140,700,419,0.275,1.14,13.75,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,A2,LPAManualBuild1_Res,190,280,226,0.0330,0.240,1.65,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,A2,LPAManualBuild1_Res,400,700,480,0.187,0.614,9.36,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,B2,LPAManualBuild1_Res,140,700,423,0.252,1.05,12.57,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,B2,LPAManualBuild1_Res,190,280,227,0.0244,0.180,1.22,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,B2,LPAManualBuild1_Res,400,700,481,0.179,0.587,8.91,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,C2,LPAManualBuild1_Res,140,700,428,0.293,1.16,16.73,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,C2,LPAManualBuild1_Res,190,280,226,0.0314,0.225,1.79,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,C2,LPAManualBuild1_Res,400,700,482,0.210,0.682,11.95,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D2,LPAManualBuild1_Res,140,700,428,0.263,1.06,16.39,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D2,LPAManualBuild1_Res,190,280,228,0.0271,0.196,1.69,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D2,LPAManualBuild1_Res,400,700,483,0.187,0.612,11.67,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,E2,LPAManualBuild1_Res,140,700,425,0.303,1.21,18.82,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,E2,LPAManualBuild1_Res,190,280,226,0.0327,0.234,2.03,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,E2,LPAManualBuild1_Res,400,700,480,0.212,0.692,13.15,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F2,LPAManualBuild1_Res,140,700,420,0.283,1.15,17.91,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F2,LPAManualBuild1_Res,190,280,224,0.0316,0.230,2.00,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F2,LPAManualBuild1_Res,400,700,477,0.195,0.640,12.32,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,G2,LPAManualBuild1_Res,140,700,424,0.264,1.06,15.36,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,G2,LPAManualBuild1_Res,190,280,222,0.0248,0.182,1.44,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,G2,LPAManualBuild1_Res,400,700,477,0.187,0.614,10.86,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H2,LPAManualBuild1_Res,140,700,413,0.265,1.09,17.25,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H2,LPAManualBuild1_Res,190,280,221,0.0303,0.221,1.97,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H2,LPAManualBuild1_Res,400,700,471,0.179,0.596,11.67,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,A3,LPAManualBuild1_Hyper,140,700,412,0.242,1.06,12.36,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,A3,LPAManualBuild1_Hyper,190,280,226,0.0351,0.265,1.79,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,A3,LPAManualBuild1_Hyper,400,700,479,0.160,0.539,8.19,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,B3,LPAManualBuild1_Hyper,140,700,416,0.244,1.05,14.29,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,B3,LPAManualBuild1_Hyper,190,280,222,0.0298,0.233,1.74,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,B3,LPAManualBuild1_Hyper,400,700,478,0.166,0.558,9.69,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,C3,LPAManualBuild1_Hyper,140,700,419,0.274,1.12,15.85,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,C3,LPAManualBuild1_Hyper,190,280,222,0.0317,0.232,1.83,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,C3,LPAManualBuild1_Hyper,400,700,479,0.185,0.610,10.73,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D3,LPAManualBuild1_Hyper,140,700,410,0.256,1.11,13.75,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D3,LPAManualBuild1_Hyper,190,280,224,0.0335,0.249,1.79,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D3,LPAManualBuild1_Hyper,400,700,480,0.167,0.552,8.96,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,E3,LPAManualBuild1_Hyper,140,700,410,0.256,1.09,16.53,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,E3,LPAManualBuild1_Hyper,190,280,220,0.0343,0.257,2.22,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,E3,LPAManualBuild1_Hyper,400,700,476,0.167,0.555,10.77,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F3,LPAManualBuild1_Hyper,140,700,409,0.256,1.08,15.16,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F3,LPAManualBuild1_Hyper,190,280,218,0.0303,0.230,1.80,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F3,LPAManualBuild1_Hyper,400,700,472,0.166,0.555,9.80,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,G3,LPAManualBuild1_Hyper,140,700,409,0.249,1.05,14.27,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,G3,LPAManualBuild1_Hyper,190,280,220,0.0330,0.244,1.89,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,G3,LPAManualBuild1_Hyper,400,700,475,0.161,0.533,9.22,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H3,LPAManualBuild1_Hyper,140,700,396,0.273,1.20,18.22,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H3,LPAManualBuild1_Hyper,190,280,218,0.0459,0.336,3.06,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H3,LPAManualBuild1_Hyper,400,700,474,0.163,0.541,10.87,double_ligated
